rank,doc_id,activation,pile_set_name,subdir,snippet,label
21,56,217.07090759277344,StackExchange,pile,"Q:  A japanese saying ""一をいうと十返ってくる""  I'm currently trying to read a japanese novel and I found this expression :   一をいうと十返ってくる  It was meant to qualify a character, but I just don't get it. At first I thought it could mean ""tell one and give back ten",
22,1953,216.76869201660156,Pile-CC,pile,"Share this post  Link to post  Question: do all users have to apply the fix specifically, or delete the file manually? Or is this going to be sorted out automatically for most people - if not it's true that it will put people off this product.  do al",
23,356,216.61912536621094,StackExchange,pile,"Q:  Disciplining: what to do when kid starts hiding his mischief?  We try to set well-defined/predictable and not-to-harsh consequences for mischief of our 4.5-year-old: timeouts, taking away toys, refusing to play, skipping story-time, etc., but no",
24,1402,216.12738037109375,Pile-CC,pile,You are Bigger than Your Anxiety  Today’s article is brought to you by AG contributor Bryan3000. Bryan and I have been exchanging ideas for weeks and I’ve enjoyed those conversations. I think that you’ll enjoy his perspective as well.  — Paul Dooley,
25,1406,214.98606872558594,StackExchange,pile,Q:  Generate XML from a class with JAVA  I asked this question before: Generate XML from a class I want to do this with Java. Is it possible to do the same with Java via attributes? or is there a framework i can use for this purpose as well.  A:  XSt,
26,141,214.7633819580078,Pile-CC,pile,Oh lawd oh lawd! I'm tired and weary of pain Please lawd! please lawd! forgive me if I complain Up in the mornin' out on the job work like the devil for my pay But that lucky old sun has nothin' to do but roll around heaven all day  Fuss with my woma,
27,690,214.53665161132812,StackExchange,pile,"Q:  What's wrong with using sudo?  In a comment here I've been told that unnecessarily using sudo should be avoided. While it wasn't needed in that particular case, I don't see any harm in using it. I think that when executing trivial programs like c",
28,572,214.50367736816406,Pile-CC,pile,"When your done with the game for Nba 2k9 for the Ps2 what else can you do? 1. Can you unlock new shoes, hair styles, Etc. 2.can you have a slam-dunk contest? all I do is create a new team and go to game modes and go to street if you got any new and c",
29,583,214.22178649902344,Pile-CC,pile,"Cart  Policy  Orders  Anchor prides itself on accurately and promptly filling orders. Normally orders are shipped out by the next business weekday. Rarely an item will not be in stock, in which case every effort will be made to contact the purchaser",
30,174,213.7692108154297,Pile-CC,pile,"I listened to this one, narrated by Justine Eyre. It was about 12 hours long, but it passed by quickly with this fun read. It's not particularly deep or magical and it doesn't call life as we know it into question.  It's a nice read/listen, light and",
31,1842,213.2268829345703,Pile-CC,pile,"Dextr Focuses Your Email Inbox on the People Who Matter  Recently, Gmail announced a new way of displaying email that presumably cleans up your inbox and makes you more organized — you can read more about it in Mark Wilson’s review. After using it on",
32,803,212.6393280029297,Pile-CC,pile,"I can’t express how extremely pleased we are with Jenny and her work! We had tons of questions which she quickly, thoroughly and happily answered. She walked us through the process and asked our opinion while also providing her own input along the w",
33,526,211.47140502929688,StackExchange,pile,"Q:  Send Cognos Burst Reporting to multiple emails  I have a few reports that need to be sent form hourly certain intervals during the day.  I know how to schedule burst jobs and they send out fine, but i am being tasked with sending that same exact",
34,7,211.2703399658203,Pile-CC,pile,"Jeanette Sawyer Cohen, PhD, clinical assistant professor of psychology in pediatrics at Weill Cornell Medical College in New York City  Pediatric Psychologist  How to Teach Independence?  How can I teach my toddler to do things independently?  You’ve",
35,748,211.20578002929688,Pile-CC,pile,"Hope. Joy.. Feelings cloaked as words.  Tag  challenge  deep down where you are truly are the most rudimental form of you. it is a will, a compassion, a purpose, a meaning, a purpose to bring meaning to this world that slowly loses its meaning. on th",
36,1591,211.1981201171875,StackExchange,pile,"Q:  My iOS app isn't requesting iAds  I recently released my first app on the app store (August 5, 2014 release). When I was testing the app the test iAds seemed to never go away. Now, the actual app available on the app store isn't displaying any ad",
37,849,211.0081787109375,StackExchange,pile,Q:  Apple rejected an app that for use on non public api where there aren't any non pulic apis  This is the message I got from Apple for rejecting my app:  Your app uses or references the following non-public APIs: didDetermineState:forRegion:      d,
38,86,210.51844787597656,Pile-CC,pile,OS 10.2 - Permanently deleting emails and files  This is my first time posting so I hope I don't screw this up...Does anyone have any advice on how to permanently delete emails and files? I am running on OS X 10.3.9 and have deleted files in my trash,
39,992,210.38046264648438,StackExchange,pile,Q:  Geometric Operations in GIS Systems  I have worked with 2D geometry for CAD - My questions are general and relate to understanding operations on geometric entities (lines). Should geometric operations such as line-line intersection be done in the,
40,1386,209.8600311279297,StackExchange,pile,Q:  How to put debug point  I've a php file calling another php file which sometimes calls another php file to execute some actions (all through ajax). What I use to do was to echo at different points to know upto where the codes are executing proper,
41,1728,209.18194580078125,StackExchange,pile,"Q:  New tag should require more privilege  I am a relatively new user in Ask Ubuntu site, which is a subsite of the Stack Exchange network. After participating in the Questions and answers in the AU site for a while, I see that, the ""tags"" are very i",
42,911,208.65882873535156,Pile-CC,pile,"Menu  The Freedom of Choice  In every moment we have a choice. The freedom to choose our actions that create our day, month and year all adding up to the life we are creating for ourself. Even if you think are not choosing, you are. No decision is a",
43,239,206.69717407226562,StackExchange,pile,"Q:  Pass values to IN operator in a Worklight SQL adapter  I have started to work with SQL adapters in Worklight, but I do not understand how can I pass values to an IN condition when invoking my adapter procedure.  A:  You will need to edit your que",
44,1347,206.30331420898438,StackExchange,pile,"Q:  What does it mean? A record deal? And hating on somebody?  Some people started hating on my friend when she got a record deal.  A record deal? what kind of a deal is it?  Does the word ""hating"" mean envious?   A:  In this context, a record deal c",
45,959,206.1930389404297,StackExchange,pile,Q:  Add Password Requirements to Membership Provider  Do I need to make a Custom Membership Provider or is there another way? I have a project using ASP.NET Forms Authentication and the Microsoft SQL Membership Provider. The website is DONE. I use th,
46,325,206.17962646484375,StackExchange,pile,"Q:  MySQL replication: ""Houston, We've Got a Problem""  I ran into a problem with our replication server. Essentially, we have 2 databases (database1 and database2). Master server has both. Slave has only database1. There is a Replicate_Do_DB: databas",
47,1665,205.9861297607422,Pile-CC,pile,"Saturday, 29 October 2016  And more on Warlord Games Bolt Action as sanctimonious gits  Apologies to regular viewers - this is a bit of a rant.As part of my Bolt Action purchases I got a British machine gun and crew. I couldn't quite see from online",
48,8,205.16375732421875,StackExchange,pile,"Q:  What's the simplest way to pass a file as an argument in a simple shell script?  The following works fine on Mac OS X: #!/bin/bash R CMD Sweave myfile.Rnw pdflatex myfile.tex open myfile.pdf  Now, I realize that these 3 lines of code are really h",
49,1942,204.79673767089844,Pile-CC,pile,"I finished season three of Breaking Bad last night. Chris, I certainly wanted it to keep going and resolve some stuff, but I'm okay with waiting. I was still engaged through the season as a whole. Now I'm onto Mad Men.  I just watched the BD version",
50,478,204.74090576171875,StackExchange,pile,"Q:  Multithreaded filestream  I'm creating a client application that connects to a server and, besides other features, logs server chat into a file, so that rule violations may be punished later. Unfortunatelly, it became necessary to have (at least)",
